Path,Name,Changed,Changes
決済/【決済】01_54-決済-Stripe-PayPal自動消込_V5.json,【決済】01_54-決済-Stripe-PayPal自動消込_V5,True,Inserted CORE-Dispatcher after Webhook: payment; String replace: orders → n3_orders
その他/【その他】14_55-B2B-リードジェネレーション-貿易書類_V5.json,【その他】14_55-B2B-リードジェネレーション-貿易書類_V5,True,Inserted CORE-Dispatcher after Webhook: b2b-lead
その他/【その他】10_202-連結-ショートミドルロング自動総集編_V5.json,【その他】10_202-連結-ショートミドルロング自動総集編_V5,True,Inserted CORE-Dispatcher after Webhook: video-concatenate
その他/【その他】13_34-eBay-RevisePrice_V5.json,【その他】13_34-eBay-RevisePrice_V5,True,Inserted CORE-Dispatcher after Webhook: ebay-revise-price; SQL: 1 tables transformed; String replace: marketplace_accounts → n3_marketplace_accounts; SQL: 1 tables transformed; String replace: ebay_tokens → n3_ebay_tokens; SQL: 1 tables transformed; String replace: marketplace_listings → n3_marketplace_listings; SQL: 1 tables transformed; String replace: marketplace_listings → n3_marketplace_listings
その他/【その他】07_161-代行-自動プロデュース-BGM-テロップ-演出注入_V5.json,【その他】07_161-代行-自動プロデュース-BGM-テロップ-演出注入_V5,True,Inserted CORE-Dispatcher after Webhook: auto-produce
その他/【その他】12_33-eBay-ReviseQuantity_V5.json,【その他】12_33-eBay-ReviseQuantity_V5,True,Inserted CORE-Dispatcher after Webhook: ebay-revise-quantity; SQL: 1 tables transformed; String replace: marketplace_accounts → n3_marketplace_accounts; SQL: 1 tables transformed; String replace: ebay_tokens → n3_ebay_tokens; SQL: 1 tables transformed; String replace: marketplace_listings → n3_marketplace_listings; SQL: 1 tables transformed; String replace: marketplace_listings → n3_marketplace_listings
その他/【その他】05_132-アセット-VoiceIdentity-ピッチ変動別人化_V5.json,【その他】05_132-アセット-VoiceIdentity-ピッチ変動別人化_V5,True,Inserted CORE-Dispatcher after Webhook: voice-identity-variation
その他/【その他】04_131-アセット-SunoAI-BGMバルク生成-ジャンル別100曲_V5.json,【その他】04_131-アセット-SunoAI-BGMバルク生成-ジャンル別100曲_V5,True,Inserted CORE-Dispatcher after Webhook: suno-bgm-generate
その他/【その他】03_130-アセット-Midjourneyバルク生成-表情100パターン_V5.json,【その他】03_130-アセット-Midjourneyバルク生成-表情100パターン_V5,True,Inserted CORE-Dispatcher after Webhook: mj-bulk-generate
その他/【その他】01_121-ガバナンス-概要欄一括更新-GlobalKillSwitch_V5.json,【その他】01_121-ガバナンス-概要欄一括更新-GlobalKillSwitch_V5,True,Inserted CORE-Dispatcher after Webhook: description-bulk-update
その他/【その他】11_203-監修者-1次情報インサイト注入-チャット連携_V5.json,【その他】11_203-監修者-1次情報インサイト注入-チャット連携_V5,True,Inserted CORE-Dispatcher after Webhook: insight-inject
その他/【その他】09_201-成長-30日評価-言語解禁-自動格下げ_V5.json,【その他】09_201-成長-30日評価-言語解禁-自動格下げ_V5,True,Inserted CORE-Dispatcher after Webhook: growth-evaluation
その他/【その他】02_122-ガバナンス-LocalLLMルーティング-Ollama-DeepSeek_V5.json,【その他】02_122-ガバナンス-LocalLLMルーティング-Ollama-DeepSeek_V5,True,Inserted CORE-Dispatcher after Webhook: llm-route
その他/【その他】08_180-監修UI-エッセンス注入-島主一言合成_V5.json,【その他】08_180-監修UI-エッセンス注入-島主一言合成_V5,True,Inserted CORE-Dispatcher after Webhook: essence-inject
その他/【その他】06_160-代行-素材受取-AI解析_V5.json,【その他】06_160-代行-素材受取-AI解析_V5,True,Inserted CORE-Dispatcher after Webhook: partner-upload
共通モジュール/00_V8.2.1_GOLDEN_TEMPLATE_FINAL.json,【V8.2.1真・最終版】GOLDEN_TEMPLATE_完全体,True,Inserted CORE-Dispatcher after 🚪 Entry
共通モジュール/00_V8.2.1_GOLDEN_TEMPLATE.json,【V8.2.1金型】GOLDEN_TEMPLATE_最終不沈艦,True,Inserted CORE-Dispatcher after 🚪 Entry
共通モジュール/【共通】V8-AI-DECISION-TRACER.json,【共通】V8-AI-DECISION-TRACER,False,
共通モジュール/embedded_logic.json,【共通】embedded_logic - 帝国OS共通ロジック集,True,Inserted CORE-Dispatcher after Webhook: embedded-logic
